Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2/1/23,17.2,29.1,2.8,NE,39,15:08,23.3,61,2,NW,7,1014.2,28.5,45,0,ENE,26,1009.5
3/1/23,19.6,30.3,0,ENE,39,13:12,24.6,62,0,WNW,4,1006.8,29.1,44,0,E,24,1003.5
4/1/23,20.8,25.5,1.4,SE,37,13:41,24.2,69,7,ENE,17,1004.7,21.3,86,8,SE,30,1002.1
5/1/23,16.7,23.9,26.6,S,48,10:54,18.8,70,8,SSW,19,1009.7,21.9,48,8,S,26,1010.1
6/1/23,14.6,19.1,1,S,41,12:21,15.9,88,8,W,13,1011.8,17.7,94,8,S,20,1013.2
7/1/23,15.7,23.8,46.4,S,41,15:18,18,88,8,S,15,1015,23.3,52,8,S,20,1014
8/1/23,16.1,25.2,0.2,SE,37,14:33,20.1,61,2,WSW,9,1014.8,24.1,48,1,ESE,26,1012.4
9/1/23,14.3,29.1,0,ESE,37,13:25,20.5,64,0,NW,6,1013,27.3,47,0,ESE,24,1010.9
10/1/23,14.9,27.5,0,SE,39,15:29,21.7,65,0,NW,7,1014.5,25.9,53,1,SE,24,1014.1
11/1/23,19.9,26.7,0,SE,33,17:12,21.4,69,8,S,9,1015.9,25.8,55,8,ESE,13,1013.8
12/1/23,21.1,28,0,ENE,33,11:56,23,65,8,N,6,1016.6,26.8,52,0,ENE,17,1014.7
13/1/23,17.4,28.5,0,ENE,39,15:59,21.5,78,8,NA,0,1019.5,27.6,54,2,ENE,20,1017
14/1/23,18.7,28.1,0,ENE,41,13:26,22.5,76,8,E,7,1019.7,26.3,55,1,ENE,26,1016.7
15/1/23,17,31.2,0,ENE,35,15:17,23.3,64,0,WNW,7,1017.4,30.1,46,0,E,22,1013.9
16/1/23,21.7,28.6,0.2,SE,33,12:43,25.5,54,1,E,13,1021.8,28.3,49,6,ESE,20,1020.8
17/1/23,18.2,28.8,0,E,41,14:37,23.9,65,1,ENE,6,1020.8,27.8,52,4,ENE,24,1017.3
18/1/23,17.1,33.9,0,SW,39,19:09,24,68,0,NW,7,1012.8,32.7,44,6,ENE,20,1006.3
19/1/23,18.1,19.5,19.4,S,39,14:14,18.1,90,7,SSE,20,1010.2,19.1,63,8,S,22,1011.9
20/1/23,16.6,22.3,3.2,ESE,33,11:49,17.3,91,8,SW,7,1016.9,21.7,59,8,SSE,15,1016.5
21/1/23,15.7,25.6,1.2,ESE,41,12:52,21,65,0,W,6,1017.8,24.5,52,7,ESE,24,1014.9
22/1/23,17.6,21.6,0.6,ESE,30,13:50,18.4,91,8,N,6,1016.1,18.8,89,8,ESE,20,1015.4
23/1/23,16.9,26,11,SE,31,15:16,19.9,79,8,W,11,1013.7,24.7,56,5,SE,20,1011.6
24/1/23,16.2,29.5,0,ESE,35,15:45,22.2,66,0,NNW,6,1012.5,29.4,50,0,ENE,20,1009.2
25/1/23,16.9,28.9,8.6,SE,35,11:22,21.9,77,6,NW,4,1013.4,27.5,54,8,ESE,15,1011.2
26/1/23,18.4,35.5,0,SSE,43,19:02,23,79,0,WNW,7,1013.1,32.9,36,1,E,22,1009.3
27/1/23,21.1,28,1,SE,31,17:00,23.3,75,8,S,11,1015.7,27.7,64,8,ESE,15,1013.9
28/1/23,21.1,32.3,0,ENE,39,17:16,24.3,82,8,NNW,6,1014.3,31,59,0,ENE,24,1010.2
29/1/23,23.6,32.9,0,SE,46,13:50,24.7,85,8,NA,0,1012.9,27.7,65,6,SE,30,1011.6
30/1/23,22.1,29.6,1.8,SSE,39,15:54,22.7,86,7,N,6,1011,29,60,8,NNW,11,1006.6
31/1/23,20.4,28.3,37.4,SSE,35,18:03,22.6,69,8,WSW,11,1005.6,27.3,54,8,SSW,13,1002.4
1/2/23,18.4,28,0,ESE,39,14:10,23.1,63,1,SW,11,1003.9,27.6,59,1,ESE,22,1001.3
2/2/23,20,34.3,0,WNW,33,16:06,24.5,69,0,NNE,13,1000.5,31.9,37,2,NNE,13,993.6
3/2/23,21.8,29.8,0,ESE,37,15:16,22.7,41,0,WSW,13,995.7,28.3,30,0,NW,11,994.4
4/2/23,16.4,27.9,0,WNW,39,13:58,19.6,38,0,W,17,1005.6,26.8,19,0,W,20,1004.5
